time="2017-09-29T07:38:29.971861643Z" level=debug msg="Listener created for HTTP on unix (/var/run/docker.sock)"
time="2017-09-29T07:38:29.973612833Z" level=info msg="libcontainerd: new containerd process, pid: 19780"
time="2017-09-29T07:38:29.987496719Z" level=warning msg="containerd: low RLIMIT_NOFILE changing to max" current=1024 max=65536 
time="2017-09-29T07:38:29.987898762Z" level=debug msg="containerd: read past events" count=0 
time="2017-09-29T07:38:29.988015554Z" level=debug msg="containerd: supervisor running" cpus=2 memory=6966 runtime=docker-runc runtimeArgs=[] stateDir="/var/run/docker/libcontainerd/containerd" 
time="2017-09-29T07:38:29.988766302Z" level=debug msg="containerd: grpc api on /var/run/docker/libcontainerd/docker-containerd.sock" 
time="2017-09-29T07:38:31.034146465Z" level=debug msg="Loaded container 4e2829fadf2a959fa2da4ac0e125e84d0363aa3572d9e44c813048fab36bcb0e"
time="2017-09-29T07:38:31.034419278Z" level=debug msg="Loaded container 50b823681cdcefe39650c5524732f3a9bfc82f5ed2c30af6f34447df379ac86b"
time="2017-09-29T07:38:31.034711817Z" level=debug msg="Loaded container 50f6705323e88516a9a531afd86db672b47f2e5eb900fc02adf83b9a252b6826"
time="2017-09-29T07:38:31.034978416Z" level=debug msg="Loaded container 52ac27fc5b564be4e5bcd0bd87ff9531f9f70f73b50dd2f7f5d58713aa74546c"
time="2017-09-29T07:38:31.035257837Z" level=debug msg="Loaded container 54ad68439c986a1e1968f58f783b2aadc9192274949c929102e49ac4743b5f22"
time="2017-09-29T07:38:31.035540217Z" level=debug msg="Loaded container 55f92e4b081fac12ebf533fc188761833bed3fff0718de29542fe20b3392402a"
time="2017-09-29T07:38:31.035827035Z" level=debug msg="Loaded container 562145c272901607e30bc78ebee168de98b59e279aeea7b3702aceab3a4580f1"
time="2017-09-29T07:38:31.036090182Z" level=debug msg="Loaded container 5723b111e33866cee895fb25b529cb18d66ce768417ded85fdc3ee7f5bbf7055"
time="2017-09-29T07:38:31.036324331Z" level=debug msg="Loaded container 58412970cd4bdf2672fe43aa61ad615066c135e4fc607cc01895c15f757b499e"
time="2017-09-29T07:38:31.036611741Z" level=debug msg="Loaded container 5b89be9fe2440b7d2e0b7f785ea12b066946df1226f475ca93cf211780852781"
time="2017-09-29T07:38:31.036887710Z" level=debug msg="Loaded container 5c23de0237719bd37d1de7f4ffaaf30056a27a2c6a25af025212bc9a79c95b8b"
time="2017-09-29T07:38:31.037142079Z" level=debug msg="Loaded container 5c771f85cefda6072e2d4b5ff3d9d11b71a0aae3ff688c304226b228e6cf3c40"
time="2017-09-29T07:38:31.037443692Z" level=debug msg="Loaded container 5cb69c2b3479cf3698cdfda19c77cb2bad73e8bc8dc3d0ed23f0f91ee4ba9069"
time="2017-09-29T07:38:31.037755858Z" level=debug msg="Loaded container 5cebc8c3f4fc993068fa876f3b79a2d5723706ad7424130502606fd54b3c2838"
time="2017-09-29T07:38:31.038338273Z" level=debug msg="Loaded container 5fde51a0cdecf2102d899d6daf37b3c5d6424a3c61d529387fb4e26d406b9d3d"
time="2017-09-29T07:38:31.038835076Z" level=debug msg="Loaded container 61b87b9904c243022659424d364316ed31b46ed7a3e080e072683a5fcb3e28c5"
time="2017-09-29T07:38:31.039230487Z" level=debug msg="Loaded container 630dd6637f844dfdde7de00bcd6155ae21a18411155ec4551dbe08093aa2f4f0"
time="2017-09-29T07:38:31.039741690Z" level=debug msg="Loaded container 630ec0dad36870865ff9b2e8bd70298ad709eba2ef112d370fb78f5ff6aecd0e"
time="2017-09-29T07:38:31.040056914Z" level=debug msg="Loaded container 6384fd6fff446d2ad3de931dd9e3f61ca84efb6e4637da4c2226a2d18b944ff1"
time="2017-09-29T07:38:31.040304675Z" level=debug msg="Loaded container 6391e7a95887e54a913546f06bf4dc8cb8f088538fa65ce204e97bd0f007c652"
time="2017-09-29T07:38:31.040608852Z" level=debug msg="Loaded container 670602ae43b59120ec88c8826792ae2c8ec4c31c81316ec5c5bd774a396dec82"
time="2017-09-29T07:38:31.040888470Z" level=debug msg="Loaded container 67c86c3338d0662b58b7d02e39eda03729a03b7a9abf2b4d714aab3c93291cb3"
time="2017-09-29T07:38:31.041142445Z" level=debug msg="Loaded container 687fa57ac4c872b74065e175c0317b39da22a68cf28d8a57a853231c912d2a73"
time="2017-09-29T07:38:31.041457373Z" level=debug msg="Loaded container 68c70ce64355107f13ba69149a29e4f75d58b55cb7a4ba8505cf439769ee44c3"
time="2017-09-29T07:38:31.041738273Z" level=debug msg="Loaded container 6c7fbd9f26d34e1cbcd8f3328f804fd3a6af3c2e348287b6cde68d30c7c39931"
time="2017-09-29T07:38:31.041991163Z" level=debug msg="Loaded container 6d10e34fe8d91bf39e2cd4f8c2af2601562fecb0c9e9c33a5e847556a23609f2"
time="2017-09-29T07:38:31.042244841Z" level=debug msg="Loaded container 6d9ec335349b3d116fdd39975ea6898bd7503c92864e9d04046284d30d39c8b3"
time="2017-09-29T07:38:31.042528602Z" level=debug msg="Loaded container 6ec045039ad3c35e0539059dd2f5b9f85f58ee737e3f18bc67bbe7bdbdebb7ec"
time="2017-09-29T07:38:31.042805951Z" level=debug msg="Loaded container 6edcb42b30d7b3fe42eea65f0827645bd12439212db415519e93803e4c5c116f"
time="2017-09-29T07:38:31.043090205Z" level=debug msg="Loaded container 6ee9d7d22cd925ac64a14932f54c748d45169034a36c023ad0d114a7057248b1"
time="2017-09-29T07:38:31.043355226Z" level=debug msg="Loaded container 6fa071b55b251ba91035ef2394141ebd8df32eded5b948197e6ec9cf1f4a0082"
time="2017-09-29T07:38:31.043640171Z" level=debug msg="Loaded container 700066903ac918b78ec10aa0e4b46778d5bdde318779a8f1c8377572d3b20166"
time="2017-09-29T07:38:31.043897794Z" level=debug msg="Loaded container 733de0b1131ced39e095d10ef3bcea41909ff4b09510d176cb07657c6f5118a6"
time="2017-09-29T07:38:31.044187571Z" level=debug msg="Loaded container 73e43293039d84ce001b775fa5bf6929e7669dc5137d7625e4fc55b7c6fe8b10"
time="2017-09-29T07:38:31.044491256Z" level=debug msg="Loaded container 74dd744c4dcdc6ed6ad7145385e333c9b8db710100de3d5300afd8babd4a90c9"
time="2017-09-29T07:38:31.044772452Z" level=debug msg="Loaded container 7608ed38508d5ba829a5a45faa6b75ab3e4dd3558bf742b994e6fd60335e6760"
time="2017-09-29T07:38:31.045025736Z" level=debug msg="Loaded container 763df756e79edc886dc56c3282261547f7d5b2242baefbc6309bce8f7d96dbde"
time="2017-09-29T07:38:31.045339875Z" level=debug msg="Loaded container 767593877d41f59df964f96c3e6b171b4f7c68d69ce0c6158878289e5b80a3f5"
time="2017-09-29T07:38:31.045645926Z" level=debug msg="Loaded container 7a04bc467f2b5bbd3dc99b30d493343993a54c90910b0614448268c4564da0db"
time="2017-09-29T07:38:31.045896941Z" level=debug msg="Loaded container 7ab70fbe55d5ecb51d11f52e44631c93b382f2c777ca45e20111e8d06d30f0f7"
time="2017-09-29T07:38:31.046130302Z" level=debug msg="Loaded container 7b42fa114c7ca0ba5c1918a0693f4da7fa2e199ad14719ea343530e91af2414f"
time="2017-09-29T07:38:31.046410709Z" level=debug msg="Loaded container 7c92f03c9f6cb7c00f8c1c06c6164c38453e02d72a93a290451d6e711506c799"
time="2017-09-29T07:38:31.046693188Z" level=debug msg="Loaded container 7dda8b5d1eb0169c63e9757a8dcb7d8f8a989d88b9d4de4413fe41b068e44fb0"
time="2017-09-29T07:38:31.046919151Z" level=debug msg="Loaded container 7e0022d460630da157ea5a12f7e046d4f5e0c7990af46e62b09b0b1f31316521"
time="2017-09-29T07:38:31.047171744Z" level=debug msg="Loaded container 7ee7c142db5a4df5104820533e976e4f42575aa3ebc47ed1c5857405eed871f0"
time="2017-09-29T07:38:31.047455209Z" level=debug msg="Loaded container 8033da45fa0f43e46f8dc7933af8b7b4351b0396009a4ced09f2d4f8bf888f58"
time="2017-09-29T07:38:31.047723879Z" level=debug msg="Loaded container 80b10d8532ebffe922a909463927d69116650c9ed9f37cb29a22a3307e1c17c6"
time="2017-09-29T07:38:31.047977755Z" level=debug msg="Loaded container 80f9a5a649049a29d77752be397aef82a65926645381d1be008ebcd8eaafd656"
